Name,id_Number,ExposureTime
Richard Martin,55785201411041541,31.0
Jean Barnes,69201198809014392,31.0
Ruth Ross,65666199511306491,31.0
Holly Johnson,87263201209066246,31.0
Jennifer Mulqueen,72035197610316835,31.0
Kristin Sawtelle,24736196605135433,31.0
Jason Taylor,61695195502051859,31.0
Karl Falls,79402193908191346,30.0
Joan Lunt,67739200112038080,30.0
Mariela Liles,19033195510268359,30.0
Laura Dubberly,53052200309098355,30.0
William Hasty,28164194601103297,30.0
Darrell Buttner,15741196312024179,30.0
Lala Waters,30566199408199666,30.0
Daniel Lint,31684197409133303,30.0
William Clearwater,38049199310079846,30.0
Joseph Meadows,97054198608148483,30.0
Mark Mcginnes,35670197305047867,30.0
Suzanna Walker,35560194308169619,30.0
Alan Kretschmer,35201201204246970,30.0
Michael Davies,58286196910079174,30.0
Shannon Grant,98619200410113506,30.0
Amelia Skinner,67022199212035096,30.0
Richard Diver,14848195105044294,30.0
Marilyn Higuera,89694197211259406,30.0
April Batton,47391197202297159,30.0
Lawrence Simcox,37120200706147310,30.0
Howard Silver,69217201312301515,30.0
Donte Hollack,58628201503316640,30.0
Salvador Ange,46427199502169016,30.0
Jessica Mooney,94954195803117780,30.0
Rhonda Beatty,97930194306171498,30.0
Glenn Wright,98144193011074634,30.0
Charlyn Paulson,49143195510303626,30.0
Cathy Williams,50606199405074366,30.0
James Peitz,27058198702196587,30.0
Jeffrey Chastain,36137197604199219,29.0
Louis Carroll,99241196301122528,29.0
Mark Hunt,31005201805099285,29.0
Austin Wen,96651198103099880,29.0
Blake Stephens,15523201004301401,29.0
Loida Mckinnon,73301201912119493,29.0
Herbert Gordon,11983197111264410,29.0
Ronald Jones,24944197507038475,29.0
William Welke,60516195406221130,29.0
Kennith Melton,11974194308121482,29.0
Margaret Littlejohn,77152197011034404,29.0
Charles Williams,73883200309165397,29.0
Thomas Crisp,87015199805232825,29.0
Shirley Violette,60343200808079729,29.0
John Latham,60998193201016710,29.0
Lissette Fontana,22401197804308568,29.0
Raymond Farr,64428198906107019,29.0
Donald Sanders,26430199207292298,29.0
Gary Thompson,16917198208152050,29.0
Kent Kovar,65937198009192181,29.0
Mary Weiser,60969199211188817,29.0
Cicely Erickson,56827201712167678,29.0
Chuck Dean,43846199605181566,29.0
Clyde Land,73891199906203923,29.0
Joshua Rogillio,71884201312164635,29.0
Juanita Garcia,38549194810286059,29.0
Diane Cerverizzo,75797199010279948,29.0
Catherine Singleton,83042198505115604,29.0
Juan Woods,60080193111182481,29.0
Billy Biggs,23161199709098762,29.0
Robert Adams,97678195408105485,29.0
Evelyn Stephens,57960201908129449,29.0
Alison Tilley,13789195905281226,29.0
Oscar Streetman,61941196008072102,29.0
Billie Verity,38795195909131772,28.0
Candace Gutierrez,99567193904024692,28.0
John Davis,36700198601195854,28.0
Ruby Bailey,35026200506125232,28.0
Sandra Harris,93642199007156483,28.0
Mark Muller,78327195002231653,28.0
Vicki Atencio,69811193306244248,28.0
Linda Candelaria,86750200210027717,28.0
James Rodriquez,17020202004307296,28.0
Ross Provine,65141198506158562,28.0
Jacqueline Macfarlane,74295193103036108,28.0
Liliana Smock,69011193408055927,28.0
Eileen Ashley,94153201606118853,28.0
Kenneth Chen,80797200110131733,28.0
Terri Sexton,81235198805019526,28.0
Charles Cadena,34179201610133876,28.0
Stephen Cameron,94494193004198061,28.0
Matthew Hall,52428199612226562,28.0
Samuel Edwards,69747195505115798,28.0
Kevin Fox,85818198107219967,28.0
William Morales,21925197009148066,28.0
David Skinner,30696194308015591,28.0
Christine Elam,50317198210133646,28.0
Elia Brown,71791198709309626,28.0
Edward Riecke,33606195812142841,28.0
Diana Quero,40782193909043676,28.0
Sonia Bartels,93896194803187695,28.0
Richard Paske,75545196508247921,28.0
Eileen Mccormick,34149201209234632,28.0
Kristy Jackson,10460193606243048,28.0
Irene Torres,55952198602118170,28.0
Kimberly Fornili,15488201507308984,28.0
Richard Geier,27936194807286931,28.0
Leeann Osorno,67468196309293982,28.0
Jasmine Wells,76829195006104287,28.0
Phyllis Stephens,18435198011093120,28.0
Reba Williamson,12936194607206864,27.0
Doris Mcleod,70648201403207126,27.0
Kerry Fetherston,26825201002212606,27.0
Angel Anderson,36918200312179415,27.0
Felicia Delarosa,82942199701317515,27.0
Patricia Flynn,41084193304079485,27.0
Robert Dominguez,20484194811249579,27.0
Michael Enriquez,42145195307024861,27.0
Devon Wright,40065200810118197,27.0
Robert Miller,69842196611042769,27.0
Francisco Larkin,40179195408243123,27.0
Gus Buchmann,79422196601019119,27.0
Melissa Starr,90750194908112836,27.0
Pamela Fogle,62086195703061912,27.0
Wayne Miller,17297198301104431,27.0
Timothy Copper,15463197209179161,27.0
Gordon Williams,15979195201112628,27.0
Joseph Graves,66366200001094888,27.0
Charles Beach,71060200010162138,27.0
Joyce Hopkins,72536194312139652,27.0
Lois Rautio,76273194402233451,27.0
James Foreman,81854195104284941,27.0
Eric Watson,64828193404252275,27.0
Larry Frey,75232201607079133,27.0
Latoya Greer,90526194207257201,27.0
Judy Barnes,55461196605077426,27.0
Albert Maskell,47595199610288037,27.0
Brandon Bloom,51879201703266864,27.0
Paul Briggs,54601200903309103,27.0
Nancy Fewell,52385195907279504,27.0
Mathew Leung,26653200611291419,27.0
Violet Johnson,28441197008181485,27.0
Milton Smith,55031198901154202,27.0
Evelyn Richardson,65475200807104675,27.0
Inez Naughton,59419195803241121,27.0
Mary Blanchard,24992199810263643,27.0
Ronald Dekany,19906194909301323,27.0
Lorena Davis,61887199106262124,27.0
Janet Dyer,51843200006277167,27.0
Glenn May,44137196601307180,27.0
Gary Kyser,45604197711299783,27.0
Betty Grinstead,95646194304149353,27.0
Ann Lyons,36002193302186691,27.0
Maggie Steiner,12116193101157378,27.0
Jannette Conover,26137193202266191,27.0
Mike Straka,77695193401114825,27.0
Sheila Stephen,61247194709021988,27.0
Shannon Miller,34733200201117387,27.0
Michelle Hensley,29802198104054482,27.0
Alexander Whittenbeck,15655200204278674,27.0
Frances England,71221195910086760,27.0
Betty Sharma,23607194803051040,27.0
Barbara Smith,27293198803148067,27.0
James Steele,36543198302235617,27.0
Michelle Thompson,55149194503116004,27.0
Ted Severson,64416196911163657,27.0
Henry Ward,49282198112244515,27.0
Deanna Robinson,10689195304033359,27.0
Steve Low,20201198509307978,27.0
Beatrice Williamson,51328201908212194,27.0
Jon Garcia,52179195112109366,27.0
Gail Schackow,16248197312194103,27.0
Matthew Niebuhr,33297197806141604,27.0
Catherine Pelletier,46046194402278143,27.0
Stacey Kelley,71969199702076013,27.0
Daniel Hardman,51073197509123148,27.0
Larry Mahon,38134193805053716,27.0
Linda Rasmussen,42291199509273969,27.0
Catarina Sindelar,14878194212137132,27.0
Jose Carter,62786198101052594,27.0
Tyrone Burel,10458198809121751,27.0
Angela Bustos,40756200506042412,27.0
Edward Bell,86050195912305334,27.0
Joseph Frierson,38874201511028470,27.0
Robert Perrin,98958198912064574,26.0
Elsie Mora,10555201304135963,26.0
Michael Carbaugh,19132199012319418,26.0
Ronald Lovejoy,22218198602104393,26.0
Lisa Foust,99719200602022039,26.0
Roosevelt Thompson,40651199002248449,26.0
Janet Jageman,74949198507158044,26.0
Lea Graves,47372193110051370,26.0
Lily Johnson,20316198407091013,26.0
Mary Nichols,96784197303017055,26.0
James Britt,61174201905298109,26.0
Vincent Komsthoeft,74532199107228997,26.0
Brett Fletcher,86918197904292510,26.0
William Perreira,30681200711148480,26.0
Marjorie Blevins,45277195907095780,26.0
Margaret Gayle,52677199407244985,26.0
George Larson,62623200201095670,26.0
Damian Nowicki,78842199203058845,26.0
Brian George,79504195901012591,26.0
Trevor White,47427194406255916,26.0
Phillis Wynne,71592194005139910,26.0
Dawn Tejada,97275199011276324,26.0
John Ell,53910200305241791,26.0
Robert Horton,99506196301138538,26.0
Shirley Frost,48580195212012067,26.0
John Manus,84673194604244160,26.0
Freddy Ehlert,34458193701186193,26.0
Laura Storer,76243199603232104,26.0
Antoinette King,85667196209015363,26.0
Darlene Williams,29382199506187252,26.0
Mary Fedor,88704200903231402,26.0
Floyd Ojala,79066198007166960,26.0
Antoinette Quintero,60503201003109760,26.0
Michael Gunn,77358198311291289,26.0
Jon Kerr,56218195609094253,26.0
Benny Przybyla,77208197103096119,26.0
Jason Rhodd,96550199902171383,26.0
Cassandra Mihelich,86837194202119417,26.0
Maryann Walker,68158193901199588,26.0
Melanie Botsford,63312197612081472,26.0
Pamela Miller,97906194106194374,26.0
Michael Guitterez,69917199903255947,26.0
James Macleod,56528194001241340,26.0
Adam Wilson,21684195602195569,26.0
Gary Renzi,48478198106192089,26.0
Delphine Degroot,66565197603128004,26.0
Roger Rivera,69889193903085516,26.0
James Velez,20774201602276864,26.0
Dolores Prey,34328193111115545,26.0
Guadalupe Tate,60565195712164698,26.0
Lucille Mcdonald,51511195405198514,26.0
Jennifer Cass,88059198308237404,26.0
Susan Wade,91394196211063765,26.0
Heather Gonzales,48972194112066149,26.0
Antonio Bailey,86080194905088835,26.0
Audie Adams,91623199601308673,26.0
Chad Zevallos,68415199703198046,26.0
Michael Delcamp,77518199509185295,26.0
Evelyn Pomroy,94605194710012018,26.0
Paul Vanakin,72297198704074719,26.0
Russell Long,18003195012109201,26.0
Lloyd Cunningham,58865197809023189,26.0
James Childs,39599197609047759,26.0
Marguerite Hampton,75396194010046929,26.0
Debora Allison,73559194802039685,26.0
Richard Casto,81129194310049677,25.0
Martin Skelton,98810201407176287,25.0
Nicholas Frede,82894200612188775,25.0
James Never,87883200105231374,25.0
Antonetta Richardson,66130194601153761,25.0
Caroline Maloch,22724196901111009,25.0
Christine Gibson,62159196001143419,25.0
Thomas Walker,24242193411184007,25.0
Maria Broaddus,82434196403192013,25.0
Amy Robinson,16635197107173091,25.0
Zachary Berg,88419199709083528,25.0
Jorge Foster,26859201309298251,25.0
Shannon Gee,68851196310152180,25.0
Carol Aguilar,38975197401057523,25.0
Walter Davis,18864201512078266,25.0
Michael Rozar,84178200603205138,25.0
Ramon Edwards,62128193012087905,25.0
Allie Schmid,64815197607268725,25.0
Michelle Hickman,42717199103128818,25.0
Edmund Wheat,43890200009181842,25.0
Robert Ramirez,97051197204125845,25.0
Judith Woodruff,83840200109278265,25.0
Anita Caldwell,85757193712158142,25.0
Robert Allie,50573199504303805,25.0
Josephine Curry,11626197304135740,25.0
Olivia Keplin,60930199408067851,25.0
Theodore Williams,84365199009113052,25.0
Virginia Griffin,75727199804245286,25.0
Rodolfo Place,31488198501255458,25.0
Johnny Capps,81650194407266675,25.0
Celia Blythe,76567195211199454,25.0
Delores Welker,75473199207313011,25.0
Brenda Monaghan,63643198003165195,25.0
Dorothy Shields,55486199109048954,25.0
Jason Denery,61852198106055554,25.0
Shirley Swarr,33955196111251316,25.0
Elizabeth Sappington,80956196905148035,25.0
William Shore,14462198806286076,25.0
Melissa Smith,99334193603127779,25.0
Shirley Horst,73956200604055821,25.0
Clara Marston,38019193108238225,25.0
Michael Couzens,72138195305282756,25.0
Linda Huck,96625194406308573,25.0
Britney Tiscareno,18973195504156914,25.0
Scotty Muncy,63293195205033115,25.0
Alice Baker,20538202001027030,25.0
Angela Jernigan,26330200111049294,25.0
Edna Zapien,51604199902201141,25.0
Andrew Beyer,70598195511172751,25.0
Paula Antone,28152201010013423,25.0
Nikki Clark,97079196010142687,25.0
Devona Walker,73129198303021744,25.0
Kathryn Bombard,15925199911192607,25.0
Denise Noblitt,21249199511214812,25.0
Christine Mayle,53964200704175933,25.0
Pamela Fleeman,34505195206122847,25.0
Felipe Shipp,54676200904149445,25.0
Ruth Nguyen,42569198302059945,25.0
Eddie Twombley,57556199008224879,25.0
Michael Sylvester,60132196109267994,25.0
Irene Ollie,52423195607258369,25.0
Latarsha Huntington,52434199706217420,25.0
James Haynes,47119201003261027,25.0
Joy Pete,52171197805146028,25.0
Mary Bullock,79863195604188994,25.0
Hans Burns,64208197610299817,24.0
Thomas Imler,26961198310304301,24.0
Edward Fabrizio,34553199206259173,24.0
Timothy Escamilla,72648199204038119,24.0
Berenice Bird,74098199511121934,24.0
Christian Feeney,81584196805122985,24.0
Helen Henry,87671200410273968,24.0
Joanne Lukasiewicz,93273197712315264,24.0
Linda Guerrero,38124194710296146,24.0
Jessica Ledezma,71162196505192072,24.0
Jim Hadley,68380194910174793,24.0
Delila Janes,52339199901209965,24.0
Alison Boisvert,78755199507309055,24.0
Candy Simar,67165199409093983,24.0
Sarah Mendoza,23237199103243400,24.0
Jesse Bond,61140199703267752,24.0
Eugene Marter,31635195405271329,24.0
Ronald Soria,40364197408287108,24.0
Maria Barnes,35479201806153396,24.0
Thomas Salter,27716198610119601,24.0
Jose Rosenbaum,46971193502202326,24.0
Cristen Tidwell,98189199211061046,24.0
Earl Simmons,76645197111029924,24.0
Richard Lowrie,22594199907165582,24.0
Robert Taylor,35918200504164367,24.0
Eduardo Fatica,40986195207227768,24.0
Donald Buie,14719201805048295,24.0
Steve Sandhu,70001198003199489,24.0
Jesse Johnson,44272201408059455,24.0
James Prindle,72044194009126670,24.0
Evelyn Lietzke,91360195404133165,24.0
Lloyd Zuniga,30865197807021754,24.0
Sandra Upchurch,56904195001274702,24.0
James Castillo,23837201906199405,24.0
Joseph Jones,88549200612201904,24.0
Aaron Watkins,99453198307304264,24.0
Claudia Robinson,82606196504074213,24.0
Danielle Whited,80390196211154563,24.0
Douglas Watts,94125193801267924,24.0
Polly Sims,13919193910183020,24.0
William Younger,89112197911167881,24.0
Mollie Stewart,90290201411071495,24.0
Tony Hill,61238199003115068,24.0
Evelyn Johnson,70205193308028725,24.0
Diane Wright,34873199310017007,24.0
Linda Rice,37223196105191536,24.0
Clyde Blodgett,50412200701043389,24.0
Jose Calderon,76568200707308082,24.0
James Love,56141198502267321,24.0
Patrick Mays,11760198011156221,24.0
Homer Dufilho,60765197909279410,24.0
Stephanie Hernandez,75572195405057201,24.0
Dennis Soldner,11579200005031770,24.0
Abraham Burns,78478198504119354,24.0
Lynn Skipper,69693194305231023,24.0
Vesta Glass,58036198010123344,24.0
Joyce Stone,15379200711201613,24.0
Claire Agustin,39676198809113186,24.0
Mike Hudson,15283196709145180,24.0
Deborah Landry,13562199208296965,24.0
Graciela Ivey,33396193111116286,24.0
David Beisch,51438200703077305,24.0
Janet Rivera,72260195003294613,24.0
Robert Bellocchio,40487196404284225,24.0
Imelda Harvey,68794195708045748,24.0
John Gibbons,25531196403316773,24.0
Matthew Kinsman,60938199107073511,24.0
Vicki Starr,64618197307017084,24.0
Karen Herrin,19025194205267868,24.0
Kevin Frank,43953195109277786,24.0
Sandra Secrease,44836200101097961,24.0
Margie Gonzales,53149193904197285,24.0
Royce Carter,13004197109059637,24.0
Merle Dargan,11440200803046870,24.0
Antoine Curry,59056201208232691,24.0
Tammy Greenup,93917196704177533,24.0
Karen Walker,56422197603209335,24.0
Inez Jared,99636201306292717,24.0
April Baur,93815197803013034,24.0
Brandy Adkins,88288194503123143,24.0
Sandra Sexton,22255200601285197,24.0
Scot Sanchez,97547196412246175,24.0
David Kelly,98810196004294374,24.0
Wesley Williams,69993199812065905,24.0
Lee Young,50622197702072343,24.0
Betsy Charity,60474196808207830,24.0
Mildred Cassell,64653194204244578,24.0
Ferne Broadway,24492199910118369,24.0
Kevin Mulligan,45195194606212866,24.0
Peggy Ketchum,48087199308095159,24.0
Jessica White,23595197107172395,24.0
Betty Edwards,80933201512073494,24.0
Alvin Schultz,72424196804075061,24.0
Ruth Johnston,20266200405248851,24.0
Anita Curtiss,70302198703028969,24.0
Irene Franko,15581196101279456,24.0
Richard Kintopp,98522193202128981,24.0
Ross Arnold,35617199205254006,24.0
Corinne Caperton,70304197107291402,24.0
Anna Carrithers,34391193510222320,24.0
Francisco Meyer,63289197805233005,24.0
Cathleen Hammond,62254193704152442,24.0
Elizabeth Davison,67805199608098563,24.0
Bernard Huffman,96312199711167972,24.0
Gracie Gadwah,67169197704059326,24.0
Carol Smiley,82964201408029337,24.0
Dinah Thomas,92988198205062547,24.0
Thomas Brown,13520199005083027,23.0
Timothy Seal,53401193308119631,23.0
Clinton Chasten,27037196110261333,23.0
Dave Ramin,75709196602186777,23.0
Manuel Ames,22511198808066499,23.0
Elizabeth Werner,62338196108178609,23.0
Casey Morgan,30860199302114549,23.0
Patricia Neal,50404200003174928,23.0
Venus Mcilvain,35371195909033651,23.0
Christine Rodriguez,84339196705066388,23.0
Ruben Voorhies,83835199904143970,23.0
Brett Mobley,13067196703213732,23.0
Howard Crittle,40451194305247891,23.0
Mike Heinlen,50713200210016238,23.0
Dennis Gonzalez,30961196204071654,23.0
Lara Lee,79710199903307937,23.0
Williams Beals,84536201811207802,23.0
Danny Charlot,43914195208059030,23.0
Sarah Collingsworth,55296195009173861,23.0
Samuel Evans,11926193704256091,23.0
Earnest Pierce,33411196701191520,23.0
John Shields,74891200509144823,23.0
Emerson Lewis,51819196108243543,23.0
Bryce Dixon,62169201707153253,23.0
John Broussard,69006196311086483,23.0
Patricia Karlin,18894196104096163,23.0
Harry Sandlin,67864200106172089,23.0
Jose Zwagerman,80467193903209608,23.0
David Fanney,93094193309099659,23.0
Mary Phillips,70170193606122776,23.0
Alyssa Cochrane,47092198002044484,23.0
Jim Craig,61169195402104979,23.0
Angelo Plitt,46425193709014296,23.0
Julia Rappold,12788197610186892,23.0
Christopher Clark,25485196509152217,23.0
Lisa Harris,75426193912179649,23.0
Kellie Mitchell,49539196901078430,23.0
Luis Payne,23187194204293980,23.0
Eloise Edens,92739196101232025,23.0
Betty Hargrove,75340200108182408,23.0
Carla Johnson,81980194306256469,23.0
Patricia Hunter,36530201709094466,23.0
Chandra Nordes,45483202001167844,23.0
Larry Bondy,21600198710056285,23.0
Gerald Stinson,80691201308112433,23.0
Anthony Lipps,46379194503264870,23.0
Angel Sandoval,80189200507195961,23.0
Jack King,53472201003138492,23.0
Rosalie Daniels,73334200509188443,23.0
Douglas Torres,74128199112259389,23.0
Michael Goldston,15972198911262931,23.0
Iva Moore,94188199406234208,23.0
Frank Adams,87390193710174167,23.0
Lucy Whaley,73706201107082735,23.0
Alice Neace,69799194704086316,23.0
Donna Wilke,95567195906242011,23.0
Tera French,83374193009255628,23.0
Christopher Davis,66936198010014977,23.0
Vernon Brizuela,28666199106243843,23.0
Nicole Powell,61041199203285205,23.0
Helen Carter,11330193104124037,23.0
Milly Reed,39233195012205567,23.0
Daniel Mobilia,47486197108185504,23.0
Elias Beauchamp,48292197409246360,23.0
Phillip Mackey,71663196208124794,23.0
Rickey Hicks,60444195204173821,23.0
Linda Villalobas,12516199603206869,23.0
Juana Langley,71858198808034629,23.0
Helen Goguen,99593199503195104,23.0
Christina Chandler,40388195711018311,23.0
Phyllis Moore,12606197012099487,23.0
Wilma Tucker,85753194701117954,23.0
Lowell Cole,75319201304302358,23.0
Richard Benefiel,30863201502069952,23.0
Steven Sturgill,67164196006203413,23.0
Calvin Juncaj,91622198811157612,23.0
David Fuentes,11699199706249799,23.0
Doris Norris,80335200804052989,23.0
Lance Harmon,80174198004011821,23.0
James Eaton,73172200204252597,23.0
Harold Friedland,93284197110199193,23.0
Robert Dewitt,64132193509179654,23.0
Steven Smothers,79988201305108314,23.0
Christopher Wright,90260198903314241,23.0
Joan Segal,88277200408282803,23.0
Paul Spell,80123194605292479,23.0
Martha Bartsch,35800194801086253,23.0
Charles Mack,47258199311163306,23.0
Larry Wierzbicki,86119198010167333,23.0
Robert Jensen,46826193209199934,23.0
Rodney Massey,97805197302046182,23.0
Connie Barrett,59377201201109099,23.0
Michel Newport,58968201906106394,23.0
Ebony Busch,55401193403021036,23.0
Mona Doyle,33722196610112159,23.0
Tanya Schulle,68217196410192106,23.0
Agnes Romero,88458198302032629,23.0
Patrick Walker,58124201511131878,23.0
Dorothy Skinner,32132197607116336,23.0
Cheryl Salas,72738199810124968,23.0
Edward Huggins,60201193606245988,23.0
Thomas Hightower,38091201108245543,23.0
Leonard Autry,70044199312138623,23.0
Tracy Pearce,32555201402286132,23.0
Brenda Jones,11794195907225418,23.0
Daniel Cherry,23510199104254806,23.0
Sharon Brown,92364197508165233,23.0
Kenneth Cullinane,80012193008021402,23.0
Michael Erich,54901195211049335,23.0
Courtney Gibbons,81389194311305234,23.0
Ana Garza,50785198603259772,23.0
Dawn Williamson,37773199012236130,23.0
Eric Goodwin,72847199403139851,23.0
Alice Thorne,51992200601253035,23.0
Brian Ross,70722194602169230,23.0
Michael Wessels,25085194106029645,23.0
Bella Carmean,24468195711259702,23.0
John Ramirez,94480199007285362,23.0
Odessa Duncan,81419197804207379,23.0
Martha Cyrus,60134201407249851,23.0
Virginia Moore,41600201802029354,23.0
Thomas Holland,39827196002053582,23.0
David Fernandes,83768200902082473,23.0
Margery Acosta,88401197102217467,23.0
Lucy Mcwhorter,34902201401206063,23.0
Tyson Sharum,85785197312106157,23.0
Maria France,70995195508284791,23.0
Phillip Turnipseed,13008196508096547,23.0
Louis Noreen,24514196903016669,23.0
Roxanna Yuan,16722199712311905,23.0
Clayton Noel,37538201005312275,23.0
Delbert Montgomery,89664193611258395,23.0
Steven Laguire,13857194808036669,23.0
Claudette Pflug,17431195602289257,23.0
Ralph Cook,74223194305307986,23.0
Christine Salvemini,54771199301124173,23.0
Twana Montoya,47938194507239763,23.0
Andrew Thao,96142193805137796,23.0
Rachel Chen,75239200706259131,23.0
Constance Deangelis,96693201807031847,23.0
Beverlee Briggs,12574194303313047,23.0
Jared Hassell,81630199412077089,23.0
Julie Martinez,90759199308016686,23.0
Darlene Stieger,29953197304073137,23.0
Matt Humphreys,19961197109081634,23.0
Cheyenne Myers,18709194306147965,23.0
Victor Jugo,99669200501051220,23.0
Michelle Veal,39943198110106458,23.0
Carl Popham,50684196810193212,23.0
Sarah Rodriguez,88121198809087162,23.0
Raymond Williams,62834195611183216,23.0
Robert Vernon,45713196108179422,23.0
Perry Hinkle,52155201606247500,23.0
Florine Altmann,15433198610122607,23.0
Edith Bilodeau,30919197711279044,23.0
Ann Canady,68123195303318715,23.0
Mary Schaich,55004197206053746,23.0
Leah Hunter,50833198007254136,23.0
Darron Reid,86840195410255325,23.0
Henry Padgett,20035199407248261,23.0
Joseph Oakes,58338195210083264,23.0
Jon Price,30292195105117050,23.0
Vanessa Moran,56384200612188900,23.0
Robert Tuck,78661197908303116,23.0
Alice Swanson,93719200903243489,23.0
Harry Sydow,14355199601212281,23.0
Beverly Underwood,31227201607139170,23.0
Rebecca Russo,78627197601127385,23.0
Donald Skinner,79406200407209197,23.0
Henry Smith,73363198811178417,23.0
Gary Figueroa,50225201809064431,22.0
Margaret Henke,17636197107222100,22.0
Sophia Burns,26203201003291439,22.0
Dustin Fullerton,37950197403156184,22.0
Brandon Weathersby,63602199705195013,22.0
Betty Kempf,28665200610195372,22.0
Nicole Graham,26197198011013928,22.0
Guillermina Vrba,68756201702185866,22.0
Marianne Brassell,23495196512156655,22.0
Carmella Anderson,40365196204066160,22.0
Elizabeth Tubbs,96978196510035196,22.0
Helen Bailey,63660193509027236,22.0
Earl Pearson,39450196009115876,22.0
Michael Mcnabb,72457200407192576,22.0
