Name,id_Number,row_Number,seat_Number,auditorium_Number,test_result,score
"Alia Griffin",62132196807256838,54,62,4,True,73.44344045576031
"Alia Powell",22761194309084986,44,55,2,False,55.58595144166667
"Alice Baker",20538202001027030,29,40,6,False,58.85405309166667
"Alice Bracy",70117197907292875,55,54,2,False,81.89679118333333
"Alice Chandler",50480195306192434,48,12,1,True,76.00713825833334
"Alice Chase",48419195010023138,4,14,5,False,66.466167575
"Alice Cowley",49354200403117642,30,39,2,NULL,82.35771793333335
"Alice Dunbar",51474199406304569,9,30,6,NULL,85.45108788333333
"Alice Gillen",87215201607085752,23,12,6,True,66.86067761666666
"Alice Hamlin",20485194111257336,46,20,1,False,67.09820968333334
"Alice Hayes",75926200501045870,6,5,5,NULL,85.07912451666667
"Alice Jackson",86500197410139422,11,25,2,False,81.45536994166666
"Alice Kuttner",93985199506196856,22,11,1,False,76.38455858333333
"Alice Lugo",69731196604048688,17,48,1,False,78.32688368333332
"Alice Mestas",91673200808256399,3,34,5,False,76.089177625
"Alice Miller",75947201609254926,9,40,1,False,73.44344045576031
"Alice Neace",69799194704086316,6,24,1,False,77.21116207499999
"Alice Nieman",30837199502141498,28,47,5,False,73.44344045576031
"Alice Parsons",64978201006023649,21,44,3,NULL,79.44530951666667
"Alice Perkins",59675199711071592,6,55,1,False,70.29442213333333
"Alice Peterson",38717200601066420,18,59,5,False,72.746698725
"Alice Roberts",45066201107252887,29,4,4,False,85.61444230833332
"Alice Schneider",98642197112292680,35,50,4,False,68.91807049166667
"Alice Shones",88909198712237430,4,42,4,NULL,85.52571795
"Alice Smith",44222201502191271,17,33,6,False,61.18074083333334
"Alice Swanson",93719200903243489,6,60,4,False,78.52113186666668
"Alice Thorne",51992200601253035,29,39,6,False,93.146794875
"Alice Widrick",51230194012012192,11,1,2,False,52.947882766666666
"Alicia Ganison",61990194307123147,37,66,4,NULL,74.94064742500001
"Alicia Grove",26145194707041910,12,31,1,False,66.96896059166667
"Alicia Husseini",59860201810138336,15,58,2,False,76.1893141
"Alicia James",16386193205076609,49,64,1,False,61.855711525000004
"Alicia Lauzon",34917194701127416,50,26,1,False,74.18231499166667
"Alicia Lew",56596198108181843,41,1,6,False,82.93843497499999
"Alicia Olivares",19971197209196696,52,42,2,False,90.287874525
"Alicia Patel",12771194512081906,55,28,4,False,73.076182225
"Alicia Puentes",49796197203036113,22,26,2,False,78.24087361666666
"Alicia Sheldon",22717194110312307,42,41,6,False,73.33005308333333
"Alicia Smith",34682195610127433,2,16,4,False,73.88756133333332
"Alicia Williams",27391194308029059,32,19,1,False,62.3569771
"Alida Chauez",96428201307249025,25,35,5,NULL,66.180752725
"Alisa Griffen",91088194404139825,27,65,1,False,56.47803660833334
"Alisha Kline",26043201607191932,35,65,1,False,73.15242948333332
"Alison Boisvert",78755199507309055,28,68,4,NULL,79.2715357
"Alison Chandler",25720199407276015,59,41,4,False,77.54395603333334
"Alison Jordan",43482198905014556,27,35,4,False,84.52319045833333
"Alison Paul",90603200006226132,61,54,4,False,82.18530494166667
"Alison Tilley",13789195905281226,28,13,6,NULL,70.20079301666668
"Alix Owens",49294199805072508,38,20,4,True,69.20355308333333
"Aliza Campbell",15969193101193134,5,47,1,False,67.533075975
"Allen Atkins",23003195506117782,4,27,2,NULL,67.03126005
"Allen Mitchell",25877201404038026,45,8,5,NULL,79.02308425000001
"Allen Prince",73558201103035675,2,4,2,False,87.60535988333334
"Allen Rodriguez",86240193001139441,26,10,6,False,73.44344045576031
"Allen Stater",57823200205055679,6,25,3,False,86.19916299166667
"Allen Torres",99021196703215477,59,53,4,False,62.27786904166667
"Allie Mccarthy",18322195308278827,29,32,5,False,69.74267489166667
"Allie Schmid",64815197607268725,48,24,2,False,82.37042121666667
"Allie Smith",95161193905301951,52,42,4,False,54.80612361666666
"Alline Chavez",40481193512194706,13,30,4,False,71.87623259166666
"Allison Gatling",92280194201223140,11,14,2,False,58.37090931666666
"Allison Godbolt",62595196601107171,41,68,4,False,72.61632144166667
"Allison Johnson",66110193711218440,43,4,2,False,52.131439533333335
"Allison Pickhardt",21672199103141661,25,13,6,False,93.207455125
"Allison Sherwood",91790201201015461,41,61,1,NULL,72.27352196666666
"Allyson Boone",64681193106145440,45,56,2,False,66.72831409166666
"Allyson Vest",17914196708075577,5,37,2,False,77.33132875
"Alma Alvidrez",92481194301061236,44,58,2,NULL,73.20086995
"Alma Catt",47566198311181264,34,36,3,False,70.03201554166667
"Alma Fala",86580197109297666,25,15,5,False,73.44344045576031
"Alma Felton",29971195509029368,51,36,2,False,67.93710438333333
"Alma Lee",30445193901013227,11,54,1,NULL,45.485713358333335
"Alma Patton",36651196004034455,13,62,2,True,67.43443497499999
"Alma Schooley",17052194002186058,28,54,1,NULL,52.63830859166667
"Alma Williams",95469199903205592,50,65,2,NULL,79.67007234166668
"Alonzo Johnson",10624196901209985,45,39,1,NULL,76.72672801666667
"Alonzo Wright",84622198401052795,24,3,6,False,67.89395329166666
"Alta Carpenter",25771196306281905,35,43,5,False,73.44344045576031
"Alta Kaeo",60084198109293793,22,17,3,False,78.638783875
"Althea Moore",36454201401308496,45,34,5,True,73.44344045576031
"Alton Moffatt",16815201509094506,58,25,2,False,73.77570238333332
"Alva Edwards",51888195107197674,39,20,5,False,70.801393775
"Alvaro Carr",12551196904261705,21,66,1,False,73.44344045576031
"Alvaro Kovach",96509198312317369,12,18,3,False,71.50115748333333
"Alvin Aho",86633196009107839,17,31,6,False,73.44344045576031
"Alvin Boender",24893199805191718,11,20,2,False,73.44344045576031
"Alvin Brown",26155201401172059,11,2,1,False,67.84728845833334
"Alvin Clark",90874193105104301,45,5,2,False,73.44344045576031
"Alvin Cuadrado",86259198409276220,50,52,2,False,87.967880025
"Alvin Faunce",19186194401103549,18,4,4,False,69.00109978333334
"Alvin Hayes",45185193407194249,10,52,5,False,55.996548525
"Alvin Schultz",72424196804075061,18,1,2,False,73.44344045576031
"Alvina Stlaurent",98655196505056734,8,62,2,False,74.67971609166668
"Alysia Watson",58436196302238553,6,49,2,False,79.59355219166667
"Alyson Morris",89427200408236454,6,34,4,False,70.70474356666666
"Alyssa Cochrane",47092198002044484,2,55,5,False,75.46761537500001
"Alyssa Jasper",51864200005061796,13,44,1,False,82.64122342499999
"Alyssa Martin",98883200511162962,26,17,2,False,73.44344045576031
"Alyssa Roberts",80846195308297767,54,10,4,NULL,59.27480492499999
"Amada Reed",44867201202208551,1,68,1,False,85.88167949999999
"Amado Rohling",87925199907073153,4,38,2,False,81.96717855833334
"Amalia Ansley",68737193803098617,34,52,4,False,73.44344045576031
"Amalia Perez",42627194512296876,58,28,4,False,52.21069688333333
"Amanda Alston",25957193505119757,21,11,6,NULL,59.103772858333336
"Amanda Baker",67898197402129984,6,37,3,False,81.449758225
"Amanda Bradfield",47599198804024861,26,62,1,True,89.93198166666666
"Amanda Chu",61857195310318856,45,57,1,False,73.44344045576031
"Amanda Coleman",63310198105038689,18,49,5,False,73.44344045576031
"Amanda Davidson",64268193908028044,16,36,1,True,69.59816668333333
"Amanda Deans",57759198109155128,48,33,2,False,75.71350183333332
"Amanda Eggleston",67257197602209825,67,45,4,False,73.44344045576031
"Amanda Fischer",11253194412226706,10,31,4,False,67.28304210833333
"Amanda Glosson",67165193904011196,58,16,2,False,60.60908334999999
"Amanda Good",25447194202089487,25,39,2,False,73.44344045576031
"Amanda Grady",74438196907051037,19,9,1,False,71.30086355
"Amanda Guthrie",48537197001239485,2,43,1,False,73.06231684166667
"Amanda Jones",70741197108188219,37,61,2,False,62.22202563333333
"Amanda Mahan",34992193104234891,33,27,6,False,57.59586354166666
"Amanda Mccue",80603194512092197,33,43,6,False,70.77236905000001
"Amanda Mcdevitt",27973201301028986,29,9,4,False,68.90482324166666
"Amanda Mcrae",89388199512237663,3,15,2,False,80.45821243333333
"Amanda Michna",78183193507114848,44,60,5,NULL,73.44344045576031
"Amanda Ocasio",64793201812209691,33,42,1,False,77.83657507499998
"Amanda Pech",67391200703245824,9,29,3,False,85.538843375
"Amanda Poitier",23449193507154987,26,52,2,NULL,66.56205951666666
"Amanda Reilly",74883198701095175,25,3,5,NULL,67.46903846666666
"Amanda Rhoten",49104193805307669,44,28,4,False,66.83906499166667
"Amanda Seymour",35574194604037650,16,23,1,False,56.434805841666666
"Amanda Shepherd",91783197001224270,11,51,5,False,77.83343771666667
"Amanda Smeltzer",26049201103157591,40,33,4,False,73.44344045576031
"Amanda Snyder",49200195812306484,18,43,3,True,62.322035708333345
"Amanda Sparks",10007199803207225,36,4,3,True,73.44344045576031
"Amanda Stillwell",17782196208283050,26,37,6,False,70.65321243333334
"Amanda Trimble",84127200601182362,49,44,1,False,78.400448725
"Amanda Vallejo",63923194301179084,1,21,3,NULL,67.91422891666667
"Amanda Williams",85636200703144391,23,56,4,False,73.44344045576031
"Amanda Williams",13422195506183727,18,44,2,True,68.59466299166667
"Amber Berringer",23930198510085951,31,60,5,False,73.44344045576031
"Amber Bonilla",54904196701271771,3,43,1,False,74.26873716666667
"Amber Cooksey",69541195110229496,50,36,4,False,61.81525642500001
"Amber Housman",15448196012118052,4,45,4,False,73.44344045576031
"Amber James",22908201901272402,2,1,1,NULL,78.28681133333333
"Amber Laurent",15251199911262041,20,60,4,NULL,73.44344045576031
"Amber Lucas",41548195008105095,13,26,2,NULL,71.64553660833334
"Amber Piper",80928201510174104,45,60,2,True,81.34750824166666
"Amber Richardson",49102199504197656,23,53,2,False,80.043293925
"Amber Robbins",95772201011297934,59,38,2,False,72.40937450833333
"Amber Rogers",65558198209045151,12,5,2,False,85.69065749166667
"Amber Stuber",18394198312157228,4,11,6,False,76.08967211666666
"Amber Tackett",35951194611175722,57,15,2,False,64.88524814166666
"Amber White",33265197106064493,11,59,1,NULL,71.47064648333334
"Amber Wilkerson",79154196703044534,15,9,6,False,66.24089101666667
"Amelia Harris",32875201105166942,44,55,4,False,73.44344045576031
"Amelia Pinette",18876198201274197,17,58,1,NULL,78.42305493333333
"Amelia Skinner",67022199212035096,3,67,4,False,74.48092670833333
"Amie Hooper",83841194410273949,20,11,3,False,70.49707965
"Amina Robertson",34272199202088100,40,60,5,False,85.36702195000001
"Amos Raspberry",11446196712315402,19,19,5,False,71.39614558333334
"Amparo Ledford",12857199505302544,57,29,4,NULL,88.12245784166667
"Amparo Mcmanus",41535196205308717,66,21,4,True,68.86096334166668
"Amy Allen",12664195901121415,33,23,3,NULL,66.872662075
"Amy Beckem",34879193703109127,19,32,5,False,73.44344045576031
"Amy Betance",44530200201287462,4,36,6,True,70.70849905
"Amy Bunch",85980193801168290,54,65,4,False,75.25371059166666
"Amy Couey",12706193301259235,26,32,4,False,61.7600641
"Amy Dees",30453200103049299,7,7,3,False,85.90905126666667
"Amy Dowell",21775200911287184,28,23,2,False,86.857841575
"Amy Evans",12999197306021719,59,39,4,NULL,77.23380127499999
"Amy Faulkner",39003201909181559,31,53,5,False,73.44344045576031
"Amy Foster",82995197211106111,22,60,5,False,64.52051374166666
"Amy Graham",81341193111016405,30,41,1,False,60.10734429166668
"Amy Green",82031200701234787,26,10,2,NULL,75.00570511666666
"Amy Holloway",16250200605155810,40,15,2,True,81.604289375
"Amy Hudson",64927201907272515,20,65,4,False,70.95201735833334
"Amy Husk",78053201205235257,31,22,6,False,72.03461539166666
"Amy Izzo",36891198108318745,18,14,2,NULL,85.818671225
"Amy Kaminsky",51100195607096478,43,51,5,NULL,72.57364100833333
"Amy Little",67062199208301953,54,11,4,False,84.12525
"Amy Lu",21731195709122117,8,9,1,False,71.34914193333334
"Amy Lucky",14018198404199824,39,32,4,False,78.357174
"Amy Mccarty",81837196303046763,26,53,4,False,74.598575075
"Amy Mcdonald",97433195003195488,40,37,1,False,55.716422116666664
"Amy Merritt",31980197011287575,36,60,4,False,67.6473507
"Amy Miller",67455200612246220,10,46,4,True,73.44344045576031
"Amy Niemi",78269194710192751,6,31,2,False,70.48317398333333
"Amy Nolton",17689194708209802,32,4,6,True,64.38275
"Amy Robinson",16635197107173091,33,53,5,False,86.32946334166667
"Amy Roderick",76452194412061867,9,62,2,NULL,70.791115375
"Amy Rose",15801195302029369,25,20,1,False,66.03849631666667
"Amy Saavedra",44534195002036145,29,16,3,False,71.35050363333333
"Amy Sedlock",38383201905084312,33,26,4,False,64.28597068333333
"Amy Silva",39914198401169276,64,15,4,NULL,75.09257598333333
"Amy Stewart",15821199506031811,15,61,5,False,89.78793039166668
"Amy Walker",13090195208032518,14,6,4,False,73.44344045576031
"Amy Widera",48212195602153797,33,40,4,False,71.01017761666667
"Amy Wood",98419201003248946,17,54,2,False,86.02351004166667
"Ana Bowen",16747194807105087,48,6,4,NULL,68.69129028333333
"Ana Garcia",95173195403127256,34,48,5,True,64.34614193333333
"Ana Garza",50785198603259772,35,2,2,NULL,72.43997434166667
"Ana Gaston",65284198306202457,40,42,2,False,78.57301554166666
"Ana King",88781195805131915,34,43,6,NULL,79.31657597499999
"Ana Ma",82904196905253838,27,20,5,False,73.93996885833334
"Ana Numbers",19158197812241520,41,24,6,NULL,77.95729394166668
"Ana Pew",62600200411061582,8,42,6,False,73.44344045576031
"Ana Scribner",82129194903259040,17,9,3,False,72.889177625
"Andre Arthur",42785201703227262,22,44,5,False,73.44344045576031
"Andre Matson",45506198607266652,29,48,5,NULL,80.46838550833334
"Andre Nunez",10234202001281452,4,55,1,True,75.53947800833333
"Andre Resendez",77325197101074917,21,27,2,False,76.19131955833333
"Andre Salas",34419199503127497,14,21,3,True,89.81644593333333
"Andre Smith",33602197209075382,43,68,4,False,57.84177196666667
"Andre Wooldridge",26769193104014081,5,19,1,False,63.69673716666667
"Andrea Armor",33893195208065526,37,58,2,False,68.99559338333333
"Andrea Bonello",76726199706088117,13,15,1,NULL,68.77155859999999
"Andrea Carpenter",58676199908179619,19,9,2,False,81.34443221666668
"Andrea Chaires",55896199606084938,1,8,2,False,72.59747800833333
"Andrea Chance",75310194010033034,13,6,3,False,59.45408238333333
"Andrea Diego",46920198510312784,15,3,2,False,88.55358334166668
"Andrea Dillon",34937199512138842,27,17,5,False,73.44344045576031
"Andrea Dobbs",27654194302138075,5,55,1,False,58.776259141666664
"Andrea Estrada",10686199712031850,59,44,2,False,79.48610898333334
"Andrea Gary",66521195209157666,7,32,2,NULL,74.62349357500001
"Andrea Gatling",36488201412062621,38,2,6,False,77.12819871666666
"Andrea Gonsoulin",59799195903184678,26,32,5,False,67.54131865
"Andrea Hart",21635200001034353,42,21,4,False,85.15652655833334
"Andrea Lee",29198198209101572,23,9,3,False,73.545831475
"Andrea Mckinney",68557197212249478,12,3,2,NULL,73.44344045576031
"Andrea Mishou",56644198312146653,27,40,4,False,73.25114466666666
"Andrea Nuzum",63573196102112363,39,43,1,False,80.16185619999999
"Andrea Sharp",30150197206195044,13,55,2,False,72.81205953333334
"Andrea Snyder",89071200111148156,25,10,3,False,73.44344045576031
"Andrea White",15357195901074171,5,63,4,False,63.25416298333334
"Andrea Young",60301193104256038,15,57,2,False,73.44344045576031
"Andres Fortin",23533194205215887,21,32,2,False,69.86910805000001
"Andres Skinnen",16782194503146632,2,4,4,False,74.090772875
"Andres Swanson",15780193403236529,1,53,1,NULL,73.44344045576031
"Andrew Affagato",11331195407038989,37,42,2,NULL,66.41976924166666
"Andrew Barbosa",16411196112157490,23,19,6,False,75.61007325
"Andrew Barron",53273198906143532,52,39,4,False,82.28966023333332
"Andrew Barth",20312200603245871,12,29,3,False,78.01376646666667
"Andrew Beyer",70598195511172751,24,37,4,False,64.87358879166666
"Andrew Blakley",79487197606204917,37,10,2,False,70.77319046666666
"Andrew Blanding",14844200005312205,24,52,1,NULL,71.29169138333333
"Andrew Brauner",22242200012225473,21,15,1,False,75.35827287500001
